time,id,value
128,64,16073
128,65,13446
128,66,8706
128,67,7587
128,68,10445
128,69,8437
128,70,11735
128,71,12642
128,72,12490
128,73,16489
128,74,6257
128,75,8079
128,76,12062
128,77,11769
128,78,11848
128,79,8273
128,80,13572
128,81,12438
128,82,9036
128,83,11010
128,84,11910
128,85,11266
128,86,9587
128,87,9048
128,88,10632
128,89,9130
128,90,6969
128,91,10560
128,92,8971
128,93,12434
128,94,9674
128,95,9895
128,96,19067
128,97,0
128,98,0
128,99,0
128,100,0
128,101,21040
128,102,0
128,103,0
128,104,0
128,105,0
128,106,15760
128,107,0
128,108,0
128,109,0
128,110,0
128,111,18334
129,64,16073
129,65,13446
129,66,8706
129,67,7587
129,68,10445
129,69,8437
129,70,11735
129,71,12642
129,72,12490
129,73,16489
129,74,6257
129,75,8079
129,76,12062
129,77,11769
129,78,11848
129,79,8273
129,80,13572
129,81,12438
129,82,9036
129,83,11010
129,84,11910
129,85,11266
129,86,9587
129,87,9048
129,88,10632
129,89,9130
129,90,6969
129,91,10560
129,92,8971
129,93,12434
129,94,9674
129,95,9895
129,96,19067
129,97,0
129,98,0
129,99,0
129,100,0
129,101,21040
129,102,0
129,103,0
129,104,0
129,105,0
129,106,15760
129,107,0
129,108,0
129,109,0
129,110,0
129,111,18334
130,64,16601
130,65,13227
130,66,6737
130,67,7722
130,68,6708
130,69,9918
130,70,12247
130,71,10467
130,72,12450
130,73,16421
130,74,6749
130,75,6597
130,76,11974
130,77,10694
130,78,15218
130,79,9610
130,80,13132
130,81,12588
130,82,9006
130,83,11215
130,84,10002
130,85,11898
130,86,9640
130,87,7943
130,88,9326
130,89,11107
130,90,7748
130,91,8867
130,92,8403
130,93,14998
130,94,9917
130,95,10018
130,96,16974
130,97,0
130,98,0
130,99,0
130,100,0
130,101,23541
130,102,0
130,103,0
130,104,0
130,105,0
130,106,16627
130,107,0
130,108,0
130,109,0
130,110,0
130,111,17622
131,64,16601
131,65,13227
131,66,6737
131,67,7722
131,68,6708
131,69,9918
131,70,12247
131,71,10467
131,72,12450
131,73,16421
131,74,6749
131,75,6597
131,76,11974
131,77,10694
131,78,15218
131,79,9610
131,80,13132
131,81,12588
131,82,9006
131,83,11215
131,84,10002
131,85,11898
131,86,9640
131,87,7943
131,88,9326
131,89,11107
131,90,7748
131,91,8867
131,92,8403
131,93,14998
131,94,9917
131,95,10018
131,96,16974
131,97,0
131,98,0
131,99,0
131,100,0
131,101,23541
131,102,0
131,103,0
131,104,0
131,105,0
131,106,16627
131,107,0
131,108,0
131,109,0
131,110,0
131,111,17622
132,64,16601
132,65,13227
132,66,6737
132,67,7722
132,68,6708
132,69,9918
132,70,12247
132,71,10467
132,72,12450
132,73,16421
132,74,6749
132,75,6597
132,76,11974
132,77,10694
132,78,15218
132,79,9610
132,80,13132
132,81,12588
132,82,9006
132,83,11215
132,84,10002
